Relation Type,Source,Count,Example Source,Example Target
OFFICER (VP and Corporate Controller),SEC_FORM_4,2,Bamford Mark S,HALLIBURTON CO
OFFICER (VP and General Counsel),SEC_FORM_4,2,BEAUDOUIN MARK T,CHEVRON CORP
"OFFICER (VP and President, APAC)",SEC_FORM_4,2,Hughes Susan Mckee,Johnson Controls International plc
"OFFICER (VP and President, Americas)",SEC_FORM_4,2,Grabowski Todd M,Johnson Controls International plc
OFFICER (VP of Operations),SEC_FORM_4,2,McMillan Ryan,Nevada Canyon Gold Corp.
"OFFICER (VP, CAO & Corporate Controller)",SEC_FORM_4,2,Tematio Jean Felix,PHOTRONICS INC
"OFFICER (VP, CAO)",SEC_FORM_4,2,Banks Matthew C.,"Helmerich & Payne, Inc."
"OFFICER (VP, CFO and Treasurer)",SEC_FORM_4,2,Braund Bethany M,Limoneira CO
"OFFICER (VP, CHRO)",SEC_FORM_4,2,Agen Brian Jon,MODINE MANUFACTURING CO
"OFFICER (VP, Controller, Chief Acct Off)",SEC_FORM_4,2,BUTH JAY S.,EVERSOURCE ENERGY
"OFFICER (VP, Corp. Controller & PAO)",SEC_FORM_4,2,Seidlitz Richard A,"ARROW ELECTRONICS, INC"
"OFFICER (VP, General Counsel, Secretary)",SEC_FORM_4,2,ETKIND ANDREW R,GARMIN LTD
"OFFICER (VP, Investor Relations)",SEC_FORM_4,2,Prezelj Irena,FIRSTENERGY CORP
"OFFICER (VP, President BSNA)",SEC_FORM_4,2,HEUER BRANDT JULIE M,Johnson Controls International plc
"OFFICER (VP, Strategic Planning)",SEC_FORM_4,2,Ho Christina,CONSOLIDATED EDISON INC
"OFFICER (VP, Treasurer)",SEC_FORM_4,2,Jaramillo Claudia,DOVER Corp
OFFICER (VP-Chief Tech&Innovation Off.),SEC_FORM_4,2,Czaja Mark T,PARKER HANNIFIN CORP
OFFICER (VP-Global Supply Chain),SEC_FORM_4,2,Gentile Thomas C,PARKER HANNIFIN CORP
OFFICER (VP: CORP CONTROLLER),SEC_FORM_4,2,Abston Chris L,"NIKE, Inc."
OFFICER (Vice Chair and President),SEC_FORM_4,2,OAKLAND STEVEN,J M SMUCKER Co
"OFFICER (Vice Pres, Secretary and CLO)",SEC_FORM_4,2,Mascaro Daniel P,PROGRESSIVE CORP/OH/
OFFICER (Vice President & Gen. Counsel),SEC_FORM_4,2,Ebner Randall M,EXXON MOBIL CORP
OFFICER (Vice President & Treasurer),SEC_FORM_4,2,Goodwin Deron,BALL Corp
OFFICER (Vice President - Finance),SEC_FORM_4,2,MANASEK JARMILA MARIE,ENERGY EXPLORATION TECHNOLOGIES /
OFFICER (Vice President Operations),SEC_FORM_4,2,Kabir Hemi,ACTELIS NETWORKS INC
OFFICER (Vice President and Secretary),SEC_FORM_4,2,Hansen Neil A,EXXON MOBIL CORP
"OFFICER (Vice President, Tax)",SEC_FORM_4,2,Kosinski Anthony K,AMPHENOL CORP /DE/
"OFFICER (evp, cfo)",SEC_FORM_4,2,Ruggeri Rachel,STARBUCKS CORP
"OFFICER (evp, chief legal officer)",SEC_FORM_4,2,Lerman Bradley E,STARBUCKS CORP
"OFFICER (evp, general counsel)",SEC_FORM_4,2,Gonzalez Rachel A,STARBUCKS CORP
TRUSTEE,IRS_990,2,MELINDA FRENCH GATES END 1012024,Gates Foundation
"ADVISOR, WATER, SANI",IRS_990,1,ROSHAN SHRESTHA,Gates Foundation
ALMA_MATER,SEC_BIO,1,Elon Musk,Queen's University before transferring
BENEVOLENT_DICTATOR_FOR_LIFE,WIKIDATA,1,Guido van Rossum,Benevolent Dictator for Life
CFO,IRS_990,1,VALDEREZ GONZALEZ,The Alliance For Climate Protection
CHAIRMAN,IRS_990,1,ALBERT GORE,The Alliance For Climate Protection
CHIEF COMMUNICATIONS OFFICER,IRS_990,1,SUSAN BYRNES,Gates Foundation
"CHIEF DIVERSITY,EQUITY,& INCL. OFFICER",IRS_990,1,LESLIE MAYS END 5162024,Gates Foundation
"CHIEF EXECUTIVE OFFICER, BOARD MEMBER",IRS_990,1,MARK SUZMAN,Gates Foundation
CHIEF FINANCIAL OFFICER,IRS_990,1,CAROLYN AINSLIE,Gates Foundation
CHIEF HUMAN RESOURCES OFFICER,IRS_990,1,SONIA VORA,Gates Foundation
CHIEF LEGAL OFFICER & SECRETARY,IRS_990,1,LAUREN W BRIGHT,Gates Foundation
CHIEF OPERATING OFFICER,IRS_990,1,SHANA TARBELL,Gates Foundation
CHIEF PEOPLE OFFICER,IRS_990,1,JUNE YOSHINARI START 5162024,Gates Foundation
CHIEF STRATEGY OFFICER,IRS_990,1,ANKUR VORA,Gates Foundation
COO,SEC,1,Jeff Williams,Apple Inc.
"DEPUTY DIRECTOR, GEO",IRS_990,1,CHEIKH OUMAR SEYDI,Gates Foundation
"DEPUTY DIRECTOR, STR",IRS_990,1,SUNEETA KRISHNAN,Gates Foundation
DIRECTOR ((See remarks (3))),SEC_FORM_4,1,Cherry Jonathan,PERPETUA RESOURCES CORP.
DIRECTOR (Acting CEO and CFO),SEC_FORM_4,1,Cheng Chig Fung,HUTCHMED (China) Ltd
DIRECTOR (Acting CEO),SEC_FORM_4,1,MULICA MICHAEL C,"DNA X, Inc."
"DIRECTOR (Acting CFO, President)",SEC_FORM_4,1,LEE DAVID DONGHIE,"NewHydrogen, Inc."
DIRECTOR (Active Chairman),SEC_FORM_4,1,Molchadsky Boris,"APPYEA, INC"
DIRECTOR (Advisor),SEC_FORM_4,1,Petrovic Shacey,INSULET CORP
DIRECTOR (Assistant Secretary),SEC_FORM_4,1,Coletti Robert E.,CINTAS CORP
"DIRECTOR (Board Chair, President & CEO)",SEC_FORM_4,1,VAUGHN MIMI ECKEL,GENESCO INC
"DIRECTOR (Board Chair, President and CEO)",SEC_FORM_4,1,TIERNEY BRIAN X,FIRSTENERGY CORP
DIRECTOR (CEO & CHAIRMAN),SEC_FORM_4,1,Karkus Ted William,"ProPhase Labs, Inc."
DIRECTOR (CEO & Chair of the Board),SEC_FORM_4,1,Prince Matthew,"Cloudflare, Inc."
DIRECTOR (CEO & Chairperson of the Board),SEC_FORM_4,1,KATZ ROBERT A,VAIL RESORTS INC
DIRECTOR (CEO & Chairperson),SEC_FORM_4,1,Foroughi Arash Adam,AppLovin Corp
DIRECTOR (CEO & Executive Chairman),SEC_FORM_4,1,Ball Robert Joseph,"SHOULDER INNOVATIONS, INC."
DIRECTOR (CEO & Interim CFO),SEC_FORM_4,1,Li Zhilin,"CHINA PHARMA HOLDINGS, INC."
DIRECTOR (CEO & PRESIDENT),SEC_FORM_4,1,Thakar Sumedh S,"QUALYS, INC."
DIRECTOR (CEO & Treasurer),SEC_FORM_4,1,Stiefel Justin B,"IP STRATEGY HOLDINGS, INC."
"DIRECTOR (CEO (Resigned on July 6, 2017))",SEC_FORM_4,1,GRAY EVERETT WILLARD II,Concept Holding Corp.
DIRECTOR (CEO - Asia Pacific),SEC_FORM_4,1,Vishwajyoti Pascual Srivastava,"SS Innovations International, Inc."
DIRECTOR (CEO / CFO),SEC_FORM_4,1,KYTE CECIL BOND,"QS Energy, Inc."
DIRECTOR (CEO / Chairperson),SEC_FORM_4,1,ALON ZVI,"TIGO ENERGY, INC."
DIRECTOR (CEO AND CHAIRMAN),SEC_FORM_4,1,KANDERS WARREN B,"Cadre Holdings, Inc."
DIRECTOR (CEO DESIGNATE),SEC_FORM_4,1,KELLY ALFRED F JR,VISA INC.
DIRECTOR (CEO and Acting CFO),SEC_FORM_4,1,Young Timothy Alan,"SUNHYDROGEN, INC."
DIRECTOR (CEO and Board Chair),SEC_FORM_4,1,Wilson Andrew,ELECTRONIC ARTS INC.
DIRECTOR (CEO and CMO),SEC_FORM_4,1,Thye Dirk,"Quince Therapeutics, Inc."
DIRECTOR (CEO and CSO),SEC_FORM_4,1,Su Wei-guo,HUTCHMED (China) Ltd
DIRECTOR (CEO and Chairman BOD),SEC_FORM_4,1,Wood Anthony J.,"ROKU, INC"
DIRECTOR (CEO and Chairman of the BOD),SEC_FORM_4,1,Huang Victor,"Airship AI Holdings, Inc."
DIRECTOR (CEO and Exe. Chair of Board),SEC_FORM_4,1,Stockwell Lynn,Drugs Made In America Acquisition Corp.
DIRECTOR (CEO and Interim CFO),SEC_FORM_4,1,Levy Ron,Crypto Co
DIRECTOR (CEO and Pres.),SEC_FORM_4,1,STANG ERIC B,OOMA INC
DIRECTOR (CEO and Secretary),SEC_FORM_4,1,Colis Peter George,Ethos Technologies Inc.
DIRECTOR (CEO and interim CFO),SEC_FORM_4,1,Li Zhilin,"CHINA PHARMA HOLDINGS, INC."
DIRECTOR (CEO of Athene Holding Ltd.),SEC_FORM_4,1,Belardi James Richard,"Apollo Global Management, Inc."
"DIRECTOR (CEO of QuoteMedia, Ltd.)",SEC_FORM_4,1,SHWORAN DAVID,QUOTEMEDIA INC
DIRECTOR (CEO of Quotemedia Ltd.),SEC_FORM_4,1,SHWORAN DAVID,QUOTEMEDIA INC
"DIRECTOR (CEO, CFO & President)",SEC_FORM_4,1,LEVY IRA,SURGE COMPONENTS INC
"DIRECTOR (CEO, CFO AND SECRETARY)",SEC_FORM_4,1,Georgevich Kelly,AUDIOEYE INC
"DIRECTOR (CEO, CFO, Chairman)",SEC_FORM_4,1,RAMSEY J DOUGLAS,Breeze Acquisition Corp. II
"DIRECTOR (CEO, CFO, Director)",SEC_FORM_4,1,Ishizuka Koichi,"Dr. Foods, Inc."
"DIRECTOR (CEO, CFO, President)",SEC_FORM_4,1,Savov Dimitar Slavchev,"NIKA PHARMACEUTICALS, INC"
"DIRECTOR (CEO, COB, President)",SEC_FORM_4,1,CRAWFORD MATTHEW V,PARK OHIO HOLDINGS CORP
"DIRECTOR (CEO, CRO, Chair of Board)",SEC_FORM_4,1,Wells Dominic Benjamin James,"Onfolio Holdings, Inc"
"DIRECTOR (CEO, Chair of Board)",SEC_FORM_4,1,SMUCKER MARK T,J M SMUCKER Co
"DIRECTOR (CEO, Chair)",SEC_FORM_4,1,Gregoriou Vassilios,"ADVENT TECHNOLOGIES HOLDINGS, INC."
"DIRECTOR (CEO, Chairman of Board)",SEC_FORM_4,1,Turner Christopher Lee,YUM BRANDS INC
"DIRECTOR (CEO, Chairman of Board, Secy)",SEC_FORM_4,1,SOLOWAY RICHARD,"NAPCO SECURITY TECHNOLOGIES, INC"
"DIRECTOR (CEO, Director)",SEC_FORM_4,1,COLELLA GERARD G,MKS INSTRUMENTS INC
"DIRECTOR (CEO, EchoStar Capital)",SEC_FORM_4,1,Akhavan Hamid,EchoStar CORP
"DIRECTOR (CEO, Interim CFO & President)",SEC_FORM_4,1,Phares Denis,Dragonfly Energy Holdings Corp.
"DIRECTOR (CEO, Interim CFO, Co-Chair)",SEC_FORM_4,1,Sun Lei,JX Luxventure Group Inc.
"DIRECTOR (CEO, MM of Vine Hill Spn II)",SEC_FORM_4,1,Petruska Nicholas A,Vine Hill Capital Investment Corp. II
"DIRECTOR (CEO, Pres, Sec & Treasurer)",SEC_FORM_4,1,ELITUV NADAV,Two Hands Corp
"DIRECTOR (CEO, Pres, Secy, Treas)",SEC_FORM_4,1,NEWTON TREVOR B,PATRIOT GOLD CORP
"DIRECTOR (CEO, Pres., Treas., Secretary)",SEC_FORM_4,1,COALE ROBERT,PATRIOT GOLD CORP
"DIRECTOR (CEO, President & CFO)",SEC_FORM_4,1,Vafias Harry,StealthGas Inc.
"DIRECTOR (CEO, President & Chairman)",SEC_FORM_4,1,Frija Kevin,"VPR Brands, LP."
"DIRECTOR (CEO, President & Director)",SEC_FORM_4,1,Sinclair Donald R.,"Western Gas Equity Partners, LP"
"DIRECTOR (CEO, President and COB)",SEC_FORM_4,1,Tsirigakis Prokopios Akis,Stellar V Capital Corp. (Cayman Islands)
"DIRECTOR (CEO, President and Chairman)",SEC_FORM_4,1,Lee Edward Changwu,Hestia Insight Inc.
"DIRECTOR (CEO, President, BOD Chair)",SEC_FORM_4,1,BAUR MICHAEL L,"SCANSOURCE, INC."
"DIRECTOR (CEO, President, CTO)",SEC_FORM_4,1,Belshe Michael,"BITGO HOLDINGS, INC."
"DIRECTOR (CEO, President, Chairman)",SEC_FORM_4,1,Susi Roger E.,IRADIMED CORP
"DIRECTOR (CEO, President, Director)",SEC_FORM_4,1,COLELLA GERARD G,MKS INSTRUMENTS INC
"DIRECTOR (CEO, President, and Secretary)",SEC_FORM_4,1,Patel Sujal M,"Nautilus Biotechnology, Inc."
"DIRECTOR (CEO, SMD)",SEC_FORM_4,1,Hyzak Dwayne L.,"MSC INCOME FUND, INC."
"DIRECTOR (CEO, Sec. & CFO)",SEC_FORM_4,1,Zhi De Liao,"Cloudweb, Inc."
"DIRECTOR (CEO, interim CFO)",SEC_FORM_4,1,LA ROSA JOSEPH,La Rosa Holdings Corp.
"DIRECTOR (CEO,Treasurer,Secretary)",SEC_FORM_4,1,Coombs Jason Scott,"PivX Solutions, Inc."
DIRECTOR (CEO/Director),SEC_FORM_4,1,Schindermann Rubin,Target Group Inc.
DIRECTOR (CEO/PRESIDENT/COO),SEC_FORM_4,1,Simon Eli,SIMON PROPERTY GROUP INC.
DIRECTOR (CEO/President),SEC_FORM_4,1,Lewis Bryan,"Intellicheck, Inc."
DIRECTOR (CEO; Chairman),SEC_FORM_4,1,Cummins Wes,Applied Digital Corp.
DIRECTOR (CFO and COO),SEC_FORM_4,1,Jiang Jun Jason,Jinxin Technology Holding Co
"DIRECTOR (CFO, CCO, Secretary, Treasurer)",SEC_FORM_4,1,Sims David C,"EAGLE CAPITAL GROWTH FUND, INC."
"DIRECTOR (CFO, COO and Secretary)",SEC_FORM_4,1,Ma Stephen Hoi,Scilex Holding Co
"DIRECTOR (CFO, Secretary and Treasurer)",SEC_FORM_4,1,GUARINO DAVID,ALKALINE WATER Co INC
"DIRECTOR (CFO, Treasurer, Secretary)",SEC_FORM_4,1,Guzy Jeffrey J,CoJax Oil & Gas Corp
DIRECTOR (CFO/Vice President),SEC_FORM_4,1,BRACKEBUSCH GRANT A,"Idaho Strategic Resources, Inc."
DIRECTOR (CHAIRMAN & PRESIDENT),SEC_FORM_4,1,DEBENEDICTIS NICHOLAS,AQUA AMERICA INC
DIRECTOR (CHAIRMAN OF THE BOARD AND CEO),SEC_FORM_4,1,GONZALEZ RICHARD A,AbbVie Inc.
DIRECTOR (CHAIRMAN OF THE BOARD),SEC_FORM_4,1,WEAVER WAYNE J,SHOE CARNIVAL INC
"DIRECTOR (CHAIRMAN, CEO & PRESIDENT)",SEC_FORM_4,1,ARON ADAM M,"AMC ENTERTAINMENT HOLDINGS, INC."
"DIRECTOR (CHAIRMAN, PRESIDENT & C.E.O..)",SEC_FORM_4,1,HAYES JOHN A,BALL Corp
DIRECTOR (CHIEF BUSINESS OFFICER),SEC_FORM_4,1,Roberts Eric W,"CalciMedica, Inc."
DIRECTOR (CHIEF EXEC. AND PRES.),SEC_FORM_4,1,MARTIN ROBERT W,THOR INDUSTRIES INC
DIRECTOR (CHIEF OPERATING OFFICER),SEC_FORM_4,1,HAIL JEFFREY,DYNAMIC AEROSPACE SYSTEMS Corp
DIRECTOR (CHIEF SCIENTIFIC OFFICER),SEC_FORM_4,1,BOYNTON ALTON L,NORTHWEST BIOTHERAPEUTICS INC
DIRECTOR (CIRO),SEC_FORM_4,1,TOLIS PANAGIOTIS,"Elvictor Group, Inc."
DIRECTOR (CLO; CCO),SEC_FORM_4,1,Coussin Halit,PERSHING SQUARE INC.
DIRECTOR (CMO& Head of Development),SEC_FORM_4,1,Galimi Francesco,Genenta Science S.p.A.
DIRECTOR (CO-CHIEF EXECUTIVE OFFICER),SEC_FORM_4,1,TEAGUE AJ,ENTERPRISE PRODUCTS PARTNERS L.P.
DIRECTOR (COB and CEO),SEC_FORM_4,1,Zuckerberg Mark,"Meta Platforms, Inc."
"DIRECTOR (COB, SEC & TREAS)",SEC_FORM_4,1,O'HEERON PETE,LIBERTY STAR URANIUM & METALS CORP.
DIRECTOR (COO & President),SEC_FORM_4,1,Maury Justin Fontaine,"Creatd, Inc."
DIRECTOR (COO & Secretary),SEC_FORM_4,1,Miao Naihui,"GULF RESOURCES, INC."
DIRECTOR (COO - Americas),SEC_FORM_4,1,Cohen Barry F,"SS Innovations International, Inc."
DIRECTOR (COO INTL - CEO Airline FEC),SEC_FORM_4,1,Smith Richard W,FEDEX CORP
DIRECTOR (COO and Secretary),SEC_FORM_4,1,Weinstein Marc Adam,"RoboStrategy, Inc."
"DIRECTOR (COO, CardCash Exchange, Inc.)",SEC_FORM_4,1,Ackerman Ari Marc,"GIFTIFY, INC."
"DIRECTOR (COO, President)",SEC_FORM_4,1,FLANIGAN JAMES II,FLANIGANS ENTERPRISES INC
"DIRECTOR (COO, VP, SECRETARY)",SEC_FORM_4,1,Frederick Douglas J,NATIONAL PRESTO INDUSTRIES INC
DIRECTOR (CSO and Director),SEC_FORM_4,1,Revel Michel,NewcelX Ltd.
DIRECTOR (CSO),SEC_FORM_4,1,Daye Wilfred ZhongKei,Chaince Digital Holdings Inc.
DIRECTOR (CTO and COO),SEC_FORM_4,1,Rai Cheddi Bharrat,"VISIUM TECHNOLOGIES, INC."
DIRECTOR (CTO and Product Director),SEC_FORM_4,1,Cherubini Marco,Terra Innovatum Global N.V.
"DIRECTOR (Chair of Board, President, CEO)",SEC_FORM_4,1,MURPHY MATTHEW J,"Marvell Technology, Inc."
DIRECTOR (Chair of the Board),SEC_FORM_4,1,DeFelice Laura A,CREDIT SUISSE ASSET MANAGEMENT INCOME FUND INC
DIRECTOR (Chair of the Exec. Committee),SEC_FORM_4,1,COOK SCOTT D,INTUIT INC
"DIRECTOR (Chair, CEO & President)",SEC_FORM_4,1,Marks Judith Fran,Otis Worldwide Corp
"DIRECTOR (Chair, CEO and President)",SEC_FORM_4,1,Marks Judith Fran,Otis Worldwide Corp
"DIRECTOR (Chair, Hyve Solutions)",SEC_FORM_4,1,POLK DENNIS,TD SYNNEX CORP
DIRECTOR (Chairman & Chief Admin Officer),SEC_FORM_4,1,GALLUP PATRICIA,PC CONNECTION INC
DIRECTOR (Chairman - CEO),SEC_FORM_4,1,GRINBERG EFRAIM,MOVADO GROUP INC
DIRECTOR (Chairman Emeritus),SEC_FORM_4,1,BROCK MACON F JR,DOLLAR TREE INC
DIRECTOR (Chairman and COO),SEC_FORM_4,1,Taylor Paul Richard,Vocodia Holdings Corp
DIRECTOR (Chairman and Chief Scientist),SEC_FORM_4,1,Javitt Jonathan C,"NRX Pharmaceuticals, Inc."
DIRECTOR (Chairman and Secretary),SEC_FORM_4,1,GOLDSTEIN PHILLIP,"SPECIAL OPPORTUNITIES FUND, INC."
DIRECTOR (Chairman of Board & Co-CEO),SEC_FORM_4,1,ROBERTS BRIAN L,COMCAST CORP
DIRECTOR (Chairman of Board & Founder),SEC_FORM_4,1,SIMPSON BOB R,HUGOTON ROYALTY TRUST
DIRECTOR (Chairman of Exec. Committee),SEC_FORM_4,1,RALES MITCHELL P,DANAHER CORP /DE/
DIRECTOR (Chairman of Fund),SEC_FORM_4,1,NOREEN CLIFFORD M,BARINGS CORPORATE INVESTORS
DIRECTOR (Chairman of the Board & GC),SEC_FORM_4,1,MERKEL STEPHEN M,"BGC Group, Inc."
DIRECTOR (Chairman of the Board / CEO),SEC_FORM_4,1,Taylor Paul Richard,"VISIUM TECHNOLOGIES, INC."
"DIRECTOR (Chairman of the Board, CEO)",SEC_FORM_4,1,Thompson Jeffrey M,"Red Cat Holdings, Inc."
"DIRECTOR (Chairman, CEO and Interim CFO)",SEC_FORM_4,1,Pham Quang X,"Cadrenal Therapeutics, Inc."
"DIRECTOR (Chairman, CEO, and Director)",SEC_FORM_4,1,LI TIE JAMES,Nature's Miracle Holding Inc.
"DIRECTOR (Chairman, Co-CEO)",SEC_FORM_4,1,PORTNOY DAVID,CRYO CELL INTERNATIONAL INC
"DIRECTOR (Chairman, Pres & CEO)",SEC_FORM_4,1,Nye C Howard,MARTIN MARIETTA MATERIALS INC
"DIRECTOR (Chairman, President & CEO,)",SEC_FORM_4,1,Cawley Timothy,CONSOLIDATED EDISON INC
"DIRECTOR (Chairman, President, & CEO)",SEC_FORM_4,1,Ballengee James H.,"Vivakor, Inc."
"DIRECTOR (Chairman, President, CEO & CFO)",SEC_FORM_4,1,DOUGLASS A STONE,"Hypha Labs, Inc."
"DIRECTOR (Chairman, President, and CEO)",SEC_FORM_4,1,KAMPLING PATRICIA L,ALLIANT ENERGY CORP
DIRECTOR (Chairman/President),SEC_FORM_4,1,SHOEN EDWARD J,AMERCO /NV/
DIRECTOR (Chairman/President/CEO),SEC_FORM_4,1,SMITH FREDERICK W,FEDEX CORP
DIRECTOR (Chairperson and CEO),SEC_FORM_4,1,Chen Bihua,Helix Acquisition Corp. III
"DIRECTOR (Chairperson, President)",SEC_FORM_4,1,WANG HAIPENG,"AMERICAN JIANYE GREENTECH HOLDINGS, LTD."
DIRECTOR (Chairwoman of the Board),SEC_FORM_4,1,Gai Na,Calisa Acquisition Corp
DIRECTOR (Chief Banking Officer),SEC_FORM_4,1,MCCABE ROBERT A JR,"Pinnacle Financial Partners, Inc."
DIRECTOR (Chief Business Officer),SEC_FORM_4,1,ALTMAN MICHAEL SETH,Perceptive Capital Solutions Corp
DIRECTOR (Chief Content Officer),SEC_FORM_4,1,LI YANG SYLVIA,36Kr Holdings Inc.
DIRECTOR (Chief Corp Development Officer),SEC_FORM_4,1,Stephon Kenneth John,MID PENN BANCORP INC
DIRECTOR (Chief Corp. Affairs Officer),SEC_FORM_4,1,Roberts Brigette,"Quince Therapeutics, Inc."
DIRECTOR (Chief Creative Officer),SEC_FORM_4,1,Storelli Macpherson Belinda,"Banjo & Matilda, Inc."
DIRECTOR (Chief Development Officer),SEC_FORM_4,1,Davidson Matt,"ADIAL PHARMACEUTICALS, INC."
DIRECTOR (Chief Engineer),SEC_FORM_4,1,Turin Paul Stuart,Helio Corp /FL/
DIRECTOR (Chief Ex. Officer),SEC_FORM_4,1,Shvetsky Victor,"Quarta-Rad, Inc."
DIRECTOR (Chief Exec Officer & President),SEC_FORM_4,1,Ma Jun,VASO Corp
DIRECTOR (Chief Exec Officer),SEC_FORM_4,1,Hess Christopher Travis,"Commerce.com, Inc."
"DIRECTOR (Chief Exec Officer, President)",SEC_FORM_4,1,MARSHALL RYAN,PULTEGROUP INC/MI/
DIRECTOR (Chief Executive Officer & Pres),SEC_FORM_4,1,Zaslav David,"Warner Bros. Discovery, Inc."
DIRECTOR (Chief Executive Officer (Asia)),SEC_FORM_4,1,TENG SONG-YUAN,"NOCERA, INC."
DIRECTOR (Chief Executive Officer (CEO)),SEC_FORM_4,1,Perkins Rowland,OCULUS VISIONTECH INC.
DIRECTOR (Chief Executive Officer and),SEC_FORM_4,1,ROWAN MARC J,"Apollo Global Management, Inc."
DIRECTOR (Chief Finance Officer),SEC_FORM_4,1,SLG SPAC Fund LLC,Spark I Acquisition Corp
DIRECTOR (Chief IP Officer),SEC_FORM_4,1,Casey Niall,"CARLSMED, INC."
DIRECTOR (Chief Operations Officer),SEC_FORM_4,1,McBride Suzanne E.,Iridium Communications Inc.
DIRECTOR (Chief Product Officer),SEC_FORM_4,1,Luck Tyler J,Brand Engagement Network Inc.
DIRECTOR (Chief Revenue Officer),SEC_FORM_4,1,Fang Chen,"BITGO HOLDINGS, INC."
DIRECTOR (Chief Science Officer),SEC_FORM_4,1,CODE KENNETH REAY,"BIOLARGO, INC."
DIRECTOR (Chief Visionary Officer),SEC_FORM_4,1,Colgrove John,"Everpure, Inc."
DIRECTOR (Co CEO and CFO),SEC_FORM_4,1,BRILON ROBERT J,Bimergen Energy Corp
DIRECTOR (Co-CEO & Chairman),SEC_FORM_4,1,Shankar Hariharan,"Scienture Holdings, Inc."
DIRECTOR (Co-CEO and General Counsel),SEC_FORM_4,1,Tomkiel Melissa M.,"Strata Critical Medical, Inc."
DIRECTOR (Co-CEO and President),SEC_FORM_4,1,Johnson Cole Wayne,Bimergen Energy Corp
DIRECTOR (Co-Ch. of Bd/Off. Pres./Ch. EC),SEC_FORM_4,1,TISCH ANDREW H,LOEWS CORP
DIRECTOR (Co-Chaiman & CEO),SEC_FORM_4,1,HUTCHISON LARRY M,GLOBE LIFE INC.
DIRECTOR (Co-Chaiman),SEC_FORM_4,1,HUTCHISON LARRY M,GLOBE LIFE INC.
DIRECTOR (Co-Chairman & Co-CEO),SEC_FORM_4,1,Reisner Michael A,CION Investment Corp
DIRECTOR (Co-Chairman and CEO),SEC_FORM_4,1,Bettinger Walter W,SCHWAB CHARLES CORP
DIRECTOR (Co-Chairman of the board),SEC_FORM_4,1,Li Huidan,JX Luxventure Group Inc.
DIRECTOR (Co-Chief Operating Officer),SEC_FORM_4,1,Fernandez Jose A,StepStone Group Inc.
DIRECTOR (Co-Founder Chief Strategy Off.),SEC_FORM_4,1,Schingler Robert H,Planet Labs PBC
DIRECTOR (Co-Founder and CEO),SEC_FORM_4,1,Marshall William Spencer,Planet Labs PBC
DIRECTOR (Co-Founder and CTO),SEC_FORM_4,1,Harris Parker,"Salesforce, Inc."
"DIRECTOR (Co-Founder and CTO, Slack)",SEC_FORM_4,1,Harris Parker,"Salesforce, Inc."
DIRECTOR (Co-Founder),SEC_FORM_4,1,MARLETT CHRISTOPHER A,"MDB Capital Holdings, LLC"
DIRECTOR (Co-Global CEO),SEC_FORM_4,1,Aydt Matthias,FARADAY FUTURE INTELLIGENT ELECTRIC INC.
DIRECTOR (Co-President & COO),SEC_FORM_4,1,LEE WILLIS C,"Emmaus Life Sciences, Inc."
DIRECTOR (Co-President),SEC_FORM_4,1,Packer Craig,BLUE OWL CAPITAL INC.
DIRECTOR (Company Secretary),SEC_FORM_4,1,Hart Jonathan,MIXED MARTIAL ARTS GROUP LTD
DIRECTOR (Corporate Secretary),SEC_FORM_4,1,Luo Xiong,Sino Green Land Corp
"DIRECTOR (Dir, EVP & Chief Mining Eng)",SEC_FORM_4,1,Bardswich Lloyd,UNITED STATES ANTIMONY CORP
"DIRECTOR (Dir., President, CEO and CIO)",SEC_FORM_4,1,Federico Peter J,AGNC Investment Corp.
DIRECTOR (Director & President),SEC_FORM_4,1,Paradis Paul,Sezzle Inc.
DIRECTOR (Director and Chairman),SEC_FORM_4,1,Kulkarni Sandeep Chidambar,Amanat Acquisition Corp.
DIRECTOR (Director and President & CEO),SEC_FORM_4,1,Yates Lloyd M,NISOURCE INC.
DIRECTOR (Director and President),SEC_FORM_4,1,Golovanov Alexey,"Quarta-Rad, Inc."
"DIRECTOR (Director, CEO and CFO)",SEC_FORM_4,1,Mendez Terrance Elliot,"SHF Holdings, Inc."
"DIRECTOR (Director, CEO)",SEC_FORM_4,1,BALBIRNIE BRIAN R,ACCESS Newswire Inc.
"DIRECTOR (Director, Executive Chair)",SEC_FORM_4,1,Kain Gary D,AGNC Investment Corp.
"DIRECTOR (Director, Pres., CEO and CIO)",SEC_FORM_4,1,Federico Peter J,AGNC Investment Corp.
"DIRECTOR (Director, President & CEO)",SEC_FORM_4,1,Miller Jeffrey Allen,HALLIBURTON CO
"DIRECTOR (Director, President & CMBO)",SEC_FORM_4,1,Jones Doug,PennyMac Mortgage Investment Trust
"DIRECTOR (Director, President, CEO, CIO)",SEC_FORM_4,1,Federico Peter J,AGNC Investment Corp.
DIRECTOR (EVP & CFO),SEC_FORM_4,1,Lund Deanna H,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC."
DIRECTOR (EVP & Chief Business Officer),SEC_FORM_4,1,Yablonka Uri,BRAINSTORM CELL THERAPEUTICS INC.
DIRECTOR (EVP & Chief Financial Officer),SEC_FORM_4,1,Salas Carlos P,PATRIOT NATIONAL BANCORP INC
DIRECTOR (EVP & Secretary),SEC_FORM_4,1,SUMAS JOHN,VILLAGE SUPER MARKET INC
